Rk,Team,Date▲,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
32,SAS,2023-11-30,135,,ATL,L 135-137,240,48,89,.539,30,48,.625,18,41,.439,21,23,.913,135,49,96,.510,35,63,.556,14,33,.424,25,29,.862,137
33,ATL,2023-11-30,137,@,SAS,W 137-135,240,49,96,.510,35,63,.556,14,33,.424,25,29,.862,137,48,89,.539,30,48,.625,18,41,.439,21,23,.913,135
34,MIA,2023-11-30,142,,IND,W 142-132,240,48,86,.558,40,65,.615,8,21,.381,38,45,.844,142,50,98,.510,39,55,.709,11,43,.256,21,32,.656,132
35,IND,2023-12-02,144,@,MIA,W 144-129,240,56,85,.659,40,53,.755,16,32,.500,16,20,.800,144,48,89,.539,36,64,.563,12,25,.480,21,24,.875,129
36,MIL,2023-12-05,146,,NYK,W 146-122,240,55,91,.604,32,53,.604,23,38,.605,13,19,.684,146,43,87,.494,36,64,.563,7,23,.304,29,33,.879,122
37,DAL,2023-12-06,147,,UTA,W 147-97,240,56,101,.554,34,52,.654,22,49,.449,13,19,.684,147,35,87,.402,23,54,.426,12,33,.364,15,18,.833,97
38,LAL,2023-12-07,133,,NOP,W 133-89,240,47,86,.547,30,51,.588,17,35,.486,22,29,.759,133,34,95,.358,27,64,.422,7,31,.226,14,20,.700,89
39,BOS,2023-12-08,133,,NYK,W 133-123,240,48,91,.527,29,44,.659,19,47,.404,18,21,.857,133,44,88,.500,29,51,.569,15,37,.405,20,27,.741,123
40,GSW,2023-12-08,136,@,OKC,L 136-138 (OT),265,49,104,.471,30,56,.536,19,48,.396,19,23,.826,136,51,98,.520,46,69,.667,5,29,.172,31,36,.861,138
41,OKC,2023-12-08,138,,GSW,W 138-136 (OT),265,51,98,.520,46,69,.667,5,29,.172,31,36,.861,138,49,104,.471,30,56,.536,19,48,.396,19,23,.826,136
42,MIL,2023-12-11,133,,CHI,W 133-129 (OT),265,44,86,.512,29,49,.592,15,37,.405,30,37,.811,133,47,114,.412,32,80,.400,15,34,.441,20,25,.800,129
43,OKC,2023-12-11,134,,UTA,W 134-120,240,50,96,.521,32,58,.552,18,38,.474,16,17,.941,134,44,92,.478,32,54,.593,12,38,.316,20,21,.952,120
44,NYK,2023-12-11,136,,TOR,W 136-130,240,52,86,.605,35,57,.614,17,29,.586,15,23,.652,136,47,96,.490,33,57,.579,14,39,.359,22,30,.733,130
45,PHI,2023-12-11,146,,WAS,W 146-101,240,52,95,.547,32,49,.653,20,46,.435,22,25,.880,146,36,85,.424,27,54,.500,9,31,.290,20,31,.645,101
46,TOR,2023-12-13,135,,ATL,W 135-128,240,50,87,.575,32,53,.604,18,34,.529,17,24,.708,135,48,100,.480,30,59,.508,18,41,.439,14,19,.737,128
47,MIL,2023-12-13,140,,IND,W 140-126,240,48,89,.539,41,62,.661,7,27,.259,37,48,.771,140,45,100,.450,34,64,.531,11,36,.306,25,32,.781,126
48,NOP,2023-12-13,142,@,WAS,W 142-122,240,50,96,.521,34,62,.548,16,34,.471,26,30,.867,142,42,82,.512,23,38,.605,19,44,.432,19,24,.792,122
49,WAS,2023-12-15,137,,IND,W 137-123,240,52,92,.565,39,65,.600,13,27,.481,20,26,.769,137,48,107,.449,33,67,.493,15,40,.375,12,16,.750,123
50,NYK,2023-12-15,139,@,PHO,W 139-122,240,49,82,.598,32,53,.604,17,29,.586,24,28,.857,139,47,90,.522,36,62,.581,11,28,.393,17,21,.810,122
51,PHI,2023-12-16,135,@,CHO,W 135-82,240,53,88,.602,39,57,.684,14,31,.452,15,17,.882,135,33,91,.363,26,56,.464,7,35,.200,9,11,.818,82
52,LAC,2023-12-16,144,,NYK,W 144-122,240,50,88,.568,34,55,.618,16,33,.485,28,34,.824,144,44,94,.468,33,59,.559,11,35,.314,23,26,.885,122
53,MIL,2023-12-16,146,,DET,W 146-114,240,50,88,.568,31,46,.674,19,42,.452,27,32,.844,146,43,96,.448,37,68,.544,6,28,.214,22,26,.846,114
54,NOP,2023-12-17,146,@,SAS,W 146-110,240,55,98,.561,33,56,.589,22,42,.524,14,22,.636,146,40,94,.426,25,52,.481,15,42,.357,15,21,.714,110
55,CLE,2023-12-18,135,,HOU,W 135-130 (OT),265,47,97,.485,28,49,.571,19,48,.396,22,34,.647,135,47,102,.461,35,69,.507,12,33,.364,24,27,.889,130
56,SAC,2023-12-18,143,,WAS,W 143-131,240,53,100,.530,36,57,.632,17,43,.395,20,26,.769,143,44,85,.518,26,47,.553,18,38,.474,25,30,.833,131
57,LAC,2023-12-18,151,@,IND,W 151-127,240,56,98,.571,37,60,.617,19,38,.500,20,23,.870,151,49,95,.516,37,62,.597,12,33,.364,17,21,.810,127
58,ATL,2023-12-20,134,@,HOU,W 134-127,240,47,91,.516,30,51,.588,17,40,.425,23,28,.821,134,44,89,.494,28,55,.509,16,34,.471,23,23,1.000,127
59,BOS,2023-12-20,144,@,SAC,W 144-119,240,51,92,.554,29,50,.580,22,42,.524,20,24,.833,144,43,91,.473,22,47,.468,21,44,.477,12,23,.522,119
60,IND,2023-12-20,144,,CHO,W 144-113,240,49,80,.613,31,41,.756,18,39,.462,28,30,.933,144,45,95,.474,37,64,.578,8,31,.258,15,19,.789,113
61,OKC,2023-12-21,134,,LAC,W 134-115,240,51,87,.586,35,53,.660,16,34,.471,16,18,.889,134,44,93,.473,27,50,.540,17,43,.395,10,12,.833,115
62,DAL,2023-12-23,144,,SAS,W 144-119,240,52,100,.520,29,55,.527,23,45,.511,17,21,.810,144,44,98,.449,30,53,.566,14,45,.311,17,24,.708,119
63,BOS,2023-12-23,145,@,LAC,W 145-108,240,49,94,.521,24,41,.585,25,53,.472,22,28,.786,145,41,89,.461,30,55,.545,11,34,.324,15,15,1.000,108
64,MIL,2023-12-27,144,@,BRK,W 144-122,240,52,89,.584,29,38,.763,23,51,.451,17,23,.739,144,45,101,.446,38,69,.551,7,32,.219,25,29,.862,122
65,LAL,2023-12-28,133,,CHO,W 133-112,240,52,97,.536,37,67,.552,15,30,.500,14,14,1.000,133,40,85,.471,25,52,.481,15,33,.455,17,28,.607,112
66,DEN,2023-12-28,142,,MEM,W 142-105,240,55,96,.573,35,55,.636,20,41,.488,12,14,.857,142,37,89,.416,24,54,.444,13,35,.371,18,25,.720,105
67,PHO,2023-12-29,133,,CHO,W 133-119,240,46,74,.622,28,44,.636,18,30,.600,23,24,.958,133,44,92,.478,21,46,.457,23,46,.500,8,8,1.000,119
68,POR,2023-12-29,134,,SAS,W 134-128,240,48,95,.505,32,68,.471,16,27,.593,22,27,.815,134,48,94,.511,34,61,.557,14,33,.424,18,25,.720,128
69,IND,2023-12-30,140,,NYK,W 140-126,240,50,85,.588,27,42,.643,23,43,.535,17,21,.810,140,45,95,.474,28,58,.483,17,37,.459,19,27,.704,126
70,BOS,2023-12-31,134,@,SAS,W 134-101,240,51,95,.537,36,53,.679,15,42,.357,17,22,.773,134,40,94,.426,28,49,.571,12,45,.267,9,12,.750,101
71,HOU,2024-01-01,136,,DET,W 136-113,240,51,91,.560,36,56,.643,15,35,.429,19,24,.792,136,40,83,.482,27,54,.500,13,29,.448,20,27,.741,113
72,ORL,2024-01-03,135,@,SAC,L 135-138 (2OT),290,44,90,.489,19,46,.413,25,44,.568,22,27,.815,135,51,105,.486,36,65,.554,15,40,.375,21,31,.677,138
73,SAC,2024-01-03,138,,ORL,W 138-135 (2OT),290,51,105,.486,36,65,.554,15,40,.375,21,31,.677,138,44,90,.489,19,46,.413,25,44,.568,22,27,.815,135
74,OKC,2024-01-03,138,@,ATL,L 138-141,240,50,91,.549,32,55,.582,18,36,.500,20,26,.769,138,48,95,.505,34,56,.607,14,39,.359,31,33,.939,141
75,CLE,2024-01-03,140,,WAS,W 140-101,240,54,101,.535,34,59,.576,20,42,.476,12,16,.750,140,42,101,.416,30,66,.455,12,35,.343,5,11,.455,101
76,ATL,2024-01-03,141,,OKC,W 141-138,240,48,95,.505,34,56,.607,14,39,.359,31,33,.939,141,50,91,.549,32,55,.582,18,36,.500,20,26,.769,138
77,IND,2024-01-03,142,,MIL,W 142-130,240,50,90,.556,36,55,.655,14,35,.400,28,34,.824,142,46,92,.500,32,55,.582,14,37,.378,24,32,.750,130
78,DET,2024-01-03,148,@,UTA,L 148-154 (OT),265,56,105,.533,37,64,.578,19,41,.463,17,22,.773,148,53,103,.515,37,71,.521,16,32,.500,32,35,.914,154
79,UTA,2024-01-03,154,,DET,W 154-148 (OT),265,53,103,.515,37,71,.521,16,32,.500,32,35,.914,154,56,105,.533,37,64,.578,19,41,.463,17,22,.773,148
80,SAC,2024-01-05,135,,TOR,W 135-130,240,52,100,.520,31,62,.500,21,38,.553,10,15,.667,135,47,87,.540,34,50,.680,13,37,.351,23,27,.852,130
81,DAL,2024-01-05,139,,POR,W 139-103,240,56,96,.583,39,58,.672,17,38,.447,10,15,.667,139,39,95,.411,26,55,.473,13,40,.325,12,17,.706,103
82,IND,2024-01-05,150,,ATL,W 150-116,240,60,94,.638,41,55,.745,19,39,.487,11,13,.846,150,40,93,.430,30,51,.588,10,42,.238,26,30,.867,116
83,TOR,2024-01-07,133,@,GSW,W 133-118,240,55,94,.585,40,61,.656,15,33,.455,8,14,.571,133,45,100,.450,31,54,.574,14,46,.304,14,15,.933,118
84,NOP,2024-01-07,133,@,SAC,W 133-100,240,50,82,.610,31,47,.660,19,35,.543,14,16,.875,133,38,91,.418,23,46,.500,15,45,.333,9,12,.750,100
85,POR,2024-01-07,134,@,BRK,W 134-127 (OT),265,45,95,.474,25,57,.439,20,38,.526,24,30,.800,134,46,91,.505,32,54,.593,14,37,.378,21,25,.840,127
86,IND,2024-01-08,133,,BOS,W 133-131,240,48,91,.527,29,51,.569,19,40,.475,18,22,.818,133,47,90,.522,30,55,.545,17,35,.486,20,29,.690,131
87,OKC,2024-01-08,136,@,WAS,W 136-128,240,52,88,.591,38,60,.633,14,28,.500,18,24,.750,136,44,89,.494,29,57,.509,15,32,.469,25,29,.862,128
88,LAC,2024-01-08,138,,PHO,W 138-111,240,53,85,.624,38,56,.679,15,29,.517,17,23,.739,138,38,77,.494,28,47,.596,10,30,.333,25,29,.862,111
89,LAL,2024-01-09,132,,TOR,W 132-131,240,44,81,.543,28,45,.622,16,36,.444,28,36,.778,132,53,94,.564,36,59,.610,17,35,.486,8,13,.615,131
90,PHI,2024-01-10,132,@,ATL,L 132-139 (OT),265,46,102,.451,34,68,.500,12,34,.353,28,33,.848,132,48,102,.471,36,68,.529,12,34,.353,31,42,.738,139
91,ATL,2024-01-10,139,,PHI,W 139-132 (OT),265,48,102,.471,36,68,.529,12,34,.353,31,42,.738,139,46,102,.451,34,68,.500,12,34,.353,28,33,.848,132
92,NOP,2024-01-10,141,@,GSW,W 141-105,240,54,94,.574,35,54,.648,19,40,.475,14,19,.737,141,39,89,.438,27,50,.540,12,39,.308,15,18,.833,105
93,MIL,2024-01-11,135,,BOS,W 135-102,240,52,92,.565,34,50,.680,18,42,.429,13,16,.813,135,34,91,.374,25,56,.446,9,35,.257,25,30,.833,102
94,OKC,2024-01-11,139,,POR,W 139-77,240,53,93,.570,39,58,.672,14,35,.400,19,22,.864,139,28,101,.277,17,52,.327,11,49,.224,10,16,.625,77
95,SAS,2024-01-12,135,,CHO,W 135-99,240,45,87,.517,27,49,.551,18,38,.474,27,34,.794,135,32,89,.360,22,55,.400,10,34,.294,25,28,.893,99
96,GSW,2024-01-12,140,@,CHI,W 140-131,240,49,94,.521,29,47,.617,20,47,.426,22,30,.733,140,50,86,.581,32,46,.696,18,40,.450,13,16,.813,131
97,UTA,2024-01-12,145,,TOR,W 145-113,240,52,93,.559,31,50,.620,21,43,.488,20,26,.769,145,35,81,.432,18,47,.383,17,34,.500,26,37,.703,113
98,UTA,2024-01-13,132,,LAL,W 132-125,240,42,93,.452,30,56,.536,12,37,.324,36,39,.923,132,46,92,.500,33,63,.524,13,29,.448,20,24,.833,125
99,BOS,2024-01-13,145,,HOU,W 145-113,240,51,95,.537,27,48,.563,24,47,.511,19,25,.760,145,40,99,.404,33,69,.478,7,30,.233,26,30,.867,113
100,SAC,2024-01-14,142,@,MIL,L 142-143 (OT),265,55,105,.524,38,64,.594,17,41,.415,15,20,.750,142,48,92,.522,28,49,.571,20,43,.465,27,32,.844,143
101,MIL,2024-01-14,143,,SAC,W 143-142 (OT),265,48,92,.522,28,49,.571,20,43,.465,27,32,.844,143,55,105,.524,38,64,.594,17,41,.415,15,20,.750,142
102,UTA,2024-01-15,132,,IND,W 132-105,240,45,81,.556,34,56,.607,11,25,.440,31,35,.886,132,38,95,.400,29,64,.453,9,31,.290,20,25,.800,105
103,NOP,2024-01-17,132,,CHO,W 132-112,240,44,88,.500,19,41,.463,25,47,.532,19,23,.826,132,39,90,.433,20,45,.444,19,45,.422,15,18,.833,112
104,CLE,2024-01-17,135,,MIL,W 135-95,240,55,93,.591,43,65,.662,12,28,.429,13,19,.684,135,38,95,.400,26,53,.491,12,42,.286,7,10,.700,95
105,OKC,2024-01-18,134,@,UTA,W 134-129,240,48,86,.558,34,54,.630,14,32,.438,24,28,.857,134,43,89,.483,30,57,.526,13,32,.406,30,36,.833,129
106,DET,2024-01-20,135,,MIL,L 135-141,240,44,94,.468,23,57,.404,21,37,.568,26,32,.813,135,47,85,.553,35,53,.660,12,32,.375,35,49,.714,141
107,MIL,2024-01-20,141,@,DET,W 141-135,240,47,85,.553,35,53,.660,12,32,.375,35,49,.714,141,44,94,.468,23,57,.404,21,37,.568,26,32,.813,135
108,LAL,2024-01-21,134,,POR,W 134-110,240,47,86,.547,34,53,.642,13,33,.394,27,29,.931,134,42,90,.467,33,61,.541,9,29,.310,17,20,.850,110
109,PHI,2024-01-22,133,,SAS,W 133-123,240,48,97,.495,43,77,.558,5,20,.250,32,40,.800,133,43,93,.462,30,52,.577,13,41,.317,24,27,.889,123
110,NOP,2024-01-23,153,,UTA,W 153-124,240,60,104,.577,37,58,.638,23,46,.500,10,15,.667,153,43,92,.467,31,56,.554,12,36,.333,26,32,.813,124
111,PHO,2024-01-24,132,@,DAL,W 132-109,240,51,85,.600,37,51,.725,14,34,.412,16,22,.727,132,41,89,.461,24,46,.522,17,43,.395,10,18,.556,109
112,GSW,2024-01-24,134,,ATL,W 134-112,240,51,91,.560,35,58,.603,16,33,.485,16,22,.727,134,39,94,.415,25,51,.490,14,43,.326,20,26,.769,112
113,POR,2024-01-24,137,@,HOU,W 137-131 (OT),265,50,98,.510,35,63,.556,15,35,.429,22,24,.917,137,50,94,.532,38,58,.655,12,36,.333,19,22,.864,131
114,OKC,2024-01-24,140,@,SAS,W 140-114,240,54,96,.563,36,56,.643,18,40,.450,14,16,.875,140,43,86,.500,34,54,.630,9,32,.281,19,25,.760,114
115,CHI,2024-01-25,132,@,LAL,L 132-141,240,47,88,.534,35,51,.686,12,37,.324,26,29,.897,132,53,87,.609,33,56,.589,20,31,.645,15,20,.750,141
116,GSW,2024-01-25,133,,SAC,L 133-134,240,48,86,.558,29,49,.592,19,37,.514,18,23,.783,133,48,91,.527,26,43,.605,22,48,.458,16,19,.842,134
117,SAC,2024-01-25,134,@,GSW,W 134-133,240,48,91,.527,26,43,.605,22,48,.458,16,19,.842,134,48,86,.558,29,49,.592,19,37,.514,18,23,.783,133
118,IND,2024-01-25,134,,PHI,W 134-122,240,53,93,.570,41,65,.631,12,28,.429,16,21,.762,134,42,87,.483,35,58,.603,7,29,.241,31,43,.721,122
119,LAL,2024-01-25,141,,CHI,W 141-132,240,53,87,.609,33,56,.589,20,31,.645,15,20,.750,141,47,88,.534,35,51,.686,12,37,.324,26,29,.897,132
120,BOS,2024-01-25,143,@,MIA,W 143-110,240,51,80,.638,29,40,.725,22,40,.550,19,20,.950,143,42,94,.447,26,52,.500,16,42,.381,10,13,.769,110
121,IND,2024-01-26,133,,PHO,W 133-131,240,58,109,.532,50,83,.602,8,26,.308,9,15,.600,133,51,89,.573,38,59,.644,13,30,.433,16,18,.889,131
122,HOU,2024-01-26,138,@,CHO,W 138-104,240,50,89,.562,37,56,.661,13,33,.394,25,31,.806,138,35,85,.412,26,56,.464,9,29,.310,25,32,.781,104
123,ATL,2024-01-26,143,,DAL,L 143-148,240,51,97,.526,36,63,.571,15,34,.441,26,30,.867,143,51,85,.600,32,50,.640,19,35,.543,27,32,.844,148
124,DAL,2024-01-26,148,@,ATL,W 148-143,240,51,85,.600,32,50,.640,19,35,.543,27,32,.844,148,51,97,.526,36,63,.571,15,34,.441,26,30,.867,143
125,UTA,2024-01-27,134,@,CHO,W 134-122,240,52,93,.559,35,52,.673,17,41,.415,13,17,.765,134,47,92,.511,34,60,.567,13,32,.406,15,21,.714,122
126,MIL,2024-01-27,141,,NOP,W 141-117,240,51,91,.560,31,46,.674,20,45,.444,19,25,.760,141,40,85,.471,31,62,.500,9,23,.391,28,36,.778,117
127,GSW,2024-01-27,144,,LAL,L 144-145 (2OT),290,55,119,.462,32,61,.525,23,58,.397,11,16,.688,144,49,101,.485,40,74,.541,9,27,.333,38,43,.884,145
128,LAL,2024-01-27,145,@,GSW,W 145-144 (2OT),290,49,101,.485,40,74,.541,9,27,.333,38,43,.884,145,55,119,.462,32,61,.525,23,58,.397,11,16,.688,144
129,HOU,2024-01-29,135,,LAL,W 135-119,240,52,98,.531,40,62,.645,12,36,.333,19,25,.760,135,45,91,.495,32,56,.571,13,35,.371,16,26,.615,119
130,BRK,2024-01-29,147,,UTA,W 147-114,240,54,105,.514,33,60,.550,21,45,.467,18,19,.947,147,39,86,.453,30,59,.508,9,27,.333,27,34,.794,114
131,ATL,2024-01-30,138,,LAL,W 138-122,240,53,101,.525,37,63,.587,16,38,.421,16,18,.889,138,48,90,.533,36,57,.632,12,33,.364,14,25,.560,122
132,PHO,2024-01-31,136,@,BRK,W 136-120,240,49,79,.620,35,51,.686,14,28,.500,24,32,.750,136,47,94,.500,31,55,.564,16,39,.410,10,13,.769,120
133,SAC,2024-02-02,133,@,IND,W 133-122,240,51,90,.567,38,56,.679,13,34,.382,18,28,.643,133,46,85,.541,36,56,.643,10,29,.345,20,24,.833,122
134,HOU,2024-02-02,135,,TOR,W 135-106,240,55,93,.591,44,62,.710,11,31,.355,14,17,.824,135,40,91,.440,29,58,.500,11,33,.333,15,20,.750,106
135,LAC,2024-02-02,136,@,DET,W 136-125,240,53,89,.596,39,60,.650,14,29,.483,16,19,.842,136,45,89,.506,28,49,.571,17,40,.425,18,24,.750,125
136,GSW,2024-02-03,134,@,ATL,L 134-141 (OT),265,50,112,.446,32,56,.571,18,56,.321,16,20,.800,134,55,114,.482,41,71,.577,14,43,.326,17,22,.773,141
137,BRK,2024-02-03,136,@,PHI,W 136-121,240,49,95,.516,29,44,.659,20,51,.392,18,23,.783,136,44,96,.458,32,67,.478,12,29,.414,21,27,.778,121
138,ATL,2024-02-03,141,,GSW,W 141-134 (OT),265,55,114,.482,41,71,.577,14,43,.326,17,22,.773,141,50,112,.446,32,56,.571,18,56,.321,16,20,.800,134
139,OKC,2024-02-04,135,,TOR,W 135-127 (2OT),290,52,110,.473,29,47,.617,23,63,.365,8,8,1.000,135,48,101,.475,34,66,.515,14,35,.400,17,21,.810,127
140,PHO,2024-02-04,140,@,WAS,W 140-112,240,54,88,.614,43,63,.683,11,25,.440,21,26,.808,140,47,96,.490,40,64,.625,7,32,.219,11,17,.647,112
141,CLE,2024-02-05,136,,SAC,W 136-110,240,51,88,.580,28,47,.596,23,41,.561,11,17,.647,136,43,93,.462,26,49,.531,17,44,.386,7,12,.583,110
142,NOP,2024-02-05,138,,TOR,W 138-100,240,53,104,.510,34,59,.576,19,45,.422,13,13,1.000,138,40,84,.476,30,53,.566,10,31,.323,10,15,.667,100
143,ATL,2024-02-05,144,,LAC,L 144-149,240,51,95,.537,31,56,.554,20,39,.513,22,27,.815,144,52,89,.584,31,54,.574,21,35,.600,24,31,.774,149
144,LAC,2024-02-05,149,@,ATL,W 149-144,240,52,89,.584,31,54,.574,21,35,.600,24,31,.774,149,51,95,.537,31,56,.554,20,39,.513,22,27,.815,144
145,IND,2024-02-06,132,,HOU,W 132-129,240,54,86,.628,39,54,.722,15,32,.469,9,14,.643,132,50,97,.515,38,72,.528,12,25,.480,17,23,.739,129
146,DET,2024-02-07,133,@,SAC,W 133-120,240,47,84,.560,30,53,.566,17,31,.548,22,22,1.000,133,45,95,.474,30,51,.588,15,44,.341,15,22,.682,120
147,BOS,2024-02-09,133,,WAS,W 133-129,240,48,92,.522,37,58,.638,11,34,.324,26,28,.929,133,45,95,.474,25,48,.521,20,47,.426,19,21,.905,129
148,SAC,2024-02-09,135,,DEN,W 135-106,240,51,87,.586,34,53,.642,17,34,.500,16,18,.889,135,38,82,.463,28,53,.528,10,29,.345,20,28,.714,106
149,LAL,2024-02-09,139,,NOP,W 139-122,240,49,88,.557,35,57,.614,14,31,.452,27,32,.844,139,46,89,.517,35,60,.583,11,29,.379,19,23,.826,122
150,DAL,2024-02-10,146,,OKC,W 146-111,240,53,91,.582,38,53,.717,15,38,.395,25,33,.758,146,38,98,.388,21,51,.412,17,47,.362,18,21,.857,111
151,CHI,2024-02-12,136,@,ATL,W 136-126,240,51,92,.554,38,64,.594,13,28,.464,21,29,.724,136,44,94,.468,30,51,.588,14,43,.326,24,29,.828,126
152,NOP,2024-02-14,133,,WAS,W 133-126,240,50,89,.562,40,57,.702,10,32,.313,23,29,.793,133,44,92,.478,23,47,.489,21,45,.467,17,20,.850,126
153,BOS,2024-02-14,136,,BRK,W 136-86,240,52,91,.571,30,46,.652,22,45,.489,10,12,.833,136,31,81,.383,21,50,.420,10,31,.323,14,15,.933,86
154,LAL,2024-02-14,138,@,UTA,W 138-122,240,52,91,.571,38,60,.633,14,31,.452,20,24,.833,138,49,101,.485,35,56,.625,14,45,.311,10,13,.769,122
